"organisation_name"	"LAU_comb"	"organisation_latitude"	"organisation_longitude"	"year"	"sector"	"polygon_area"	"CoM_emis"	"EDGAR_emis"	"organisation_id"	"lau_population_2019_elab"	"population_adhesion"	"country_code.x"	"country_code.y"	"population"	"population2"	"population3"	"country"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2010	"TRO_noRES"	213.492969218502	91263.33289	150302.671875	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2010	"RCO"	213.492969218502	132051.081771	367893.65625	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2015	"RCO"	213.492969218502	190237.48781	325664.28125	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2015	"TRO_noRES"	213.492969218502	63137.24238	160135.640625	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2000	"TRO_noRES"	105.362539322803	25598.0481	44017.578125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2000	"RCO"	105.362539322803	85389.124399	147316.125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2005	"RCO"	105.362539322803	99108.356937	136353.875	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2005	"TRO_noRES"	105.362539322803	29006.40429	59516.1953125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2010	"RCO"	105.362539322803	86075.37043725	158496.171875	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2010	"TRO_noRES"	105.362539322803	29786.6429625	60987.53125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2015	"RCO"	105.362539322803	95990.37723372	136193.78125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Liberec"	"CZ563889"	50.7662811279297	15.0543403625488	2015	"TRO_noRES"	105.362539322803	29716.2819978	65499.8828125	"19398"	"104445"	106000	"cz"	"cz"	106000	106000	106000	"cz"
"Brno"	"CZ582786"	49.1909713745117	16.614070892334	2000	"RCO"	229.326145915311	539542.319	424545	"20307"	"380681"	377973	"cz"	"cz"	377973	377973	377973	"cz"
"Brno"	"CZ582786"	49.1909713745117	16.614070892334	2000	"TRO_noRES"	229.326145915311	140683.938	92560.2421875	"20307"	"380681"	377973	"cz"	"cz"	377973	377973	377973	"cz"
"Berlin"	"DE11000000"	52.5186004638672	13.4089002609253	2005	"RCO"	888.696372467177	6723904.894	6475355	"13564"	"3644826"	3750000	"de"	"de"	3750000	3750000	3750000	"de"
"Berlin"	"DE11000000"	52.5186004638672	13.4089002609253	2005	"TRO_noRES"	888.696372467177	4522300.729	1537612.625	"13564"	"3644826"	3750000	"de"	"de"	3750000	3750000	3750000	"de"
"Berlin"	"DE11000000"	52.5186004638672	13.4089002609253	2012	"RCO"	888.696372467177	6666909.046	5679590	"13564"	"3644826"	3750000	"de"	"de"	3750000	3750000	3750000	"de"
"Berlin"	"DE11000000"	52.5186004638672	13.4089002609253	2012	"TRO_noRES"	888.696372467177	4411086.262	1506593.75	"13564"	"3644826"	3750000	"de"	"de"	3750000	3750000	3750000	"de"
"Hamburg"	"DE2000000"	53.5507011413574	9.9920597076416	2007	"TRO_noRES"	740.417768970876	4593158.055	1019385.8125	"11606"	"1841179"	1814597	"de"	"de"	1814597	1814597	1814597	"de"
"Hamburg"	"DE2000000"	53.5507011413574	9.9920597076416	2007	"RCO"	740.417768970876	5226723.515	2740489.25	"11606"	"1841179"	1814597	"de"	"de"	1814597	1814597	1814597	"de"
"Hamburg"	"DE2000000"	53.5507011413574	9.9920597076416	2015	"RCO"	740.417768970876	2657461.918	2871860.25	"11606"	"1841179"	1814597	"de"	"de"	1814597	1814597	1814597	"de"
"Hamburg"	"DE2000000"	53.5507011413574	9.9920597076416	2015	"TRO_noRES"	740.417768970876	4235906.526	1061871.5	"11606"	"1841179"	1814597	"de"	"de"	1814597	1814597	1814597	"de"
"Wolfsburg"	"DE3103000"	52.4217987060547	10.7849998474121	2000	"RCO"	204.03159464357	33853.638	213719.8125	"13191"	"124151"	123806	"de"	"de"	123806	123806	123806	"de"
"Wolfsburg"	"DE3103000"	52.4217987060547	10.7849998474121	2000	"TRO_noRES"	204.03159464357	185225.304	163128.921875	"13191"	"124151"	123806	"de"	"de"	123806	123806	123806	"de"
"Wolfsburg"	"DE3103000"	52.4217987060547	10.7849998474121	2014	"TRO_noRES"	204.03159464357	171656.0175	153208.53125	"13191"	"124151"	123806	"de"	"de"	123806	123806	123806	"de"
"Wolfsburg"	"DE3103000"	52.4217987060547	10.7849998474121	2014	"RCO"	204.03159464357	64971.744	184179.375	"13191"	"124151"	123806	"de"	"de"	123806	123806	123806	"de"
